,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
372,SBI,$9.45,$9.57,$9.99,$8.98,$10.35,$10.47,$10.65,$10.28,-8.70%,-8.57%,-4.73%,-12.56%
373,SPE,$15.60,$15.26,$16.27,$13.84,$16.55,$17.28,$18.55,$16.13,-5.74%,-11.53%,-4.39%,-20.17%
374,SWZ,$9.83,$9.45,$10.13,$8.32,$11.29,$10.92,$11.58,$9.91,-12.93%,-13.47%,-11.32%,-16.28%
375,NIM,$10.59,$10.73,$11.30,$10.19,$10.80,$10.85,$10.96,$10.75,-1.94%,-1.13%,2.40%,-4.84%
376,IHD,$6.96,$7.74,$8.71,$6.92,$7.76,$8.33,$9.00,$7.63,-10.31%,-7.19%,-1.82%,-11.18%
377,HNW,$15.31,$15.20,$16.24,$14.03,$15.11,$15.59,$15.89,$15.11,1.32%,-2.49%,4.26%,-8.01%
378,PNI,$11.34,$11.53,$12.19,$10.71,$11.53,$11.61,$11.94,$11.17,-1.65%,-0.67%,4.27%,-4.96%
379,VGI,$11.09,$11.87,$12.75,$10.60,$11.52,$12.14,$12.67,$11.52,-3.73%,-2.23%,3.87%,-7.16%
380,CMU,$4.47,$4.61,$4.90,$4.34,$4.82,$4.87,$4.98,$4.76,-7.26%,-5.26%,-1.05%,-8.71%
381,SPPP,$13.85,$17.32,$21.59,$12.12,$14.34,$17.54,$21.21,$12.79,-3.42%,-1.11%,3.69%,-4.18%
382,GDL,$8.88,$8.96,$9.30,$8.58,$10.49,$10.71,$10.92,$10.41,-15.35%,-16.39%,-13.90%,-19.62%
383,GCV,$6.65,$6.44,$7.21,$5.76,$6.06,$6.74,$7.47,$6.06,9.74%,-4.36%,11.20%,-11.23%
384,DEX,$10.28,$10.15,$11.14,$9.40,$11.06,$11.09,$11.45,$10.62,-7.05%,-8.48%,-2.79%,-11.04%
385,PCM,$10.78,$11.43,$12.77,$10.37,$9.37,$9.51,$9.68,$9.30,15.05%,20.23%,27.47%,13.01%
386,SMM,$6.93,$5.81,$7.28,$4.57,$7.98,$7.43,$8.76,$6.01,-13.16%,-21.87%,-9.89%,-27.03%
387,EXD,$12.43,$11.37,$12.50,$9.61,$11.87,$11.43,$12.16,$10.45,4.72%,-0.60%,4.72%,-6.26%
388,DTF,$14.05,$14.59,$15.10,$14.02,$15.49,$15.97,$16.30,$13.32,-9.30%,-8.59%,8.86%,-11.52%
389,SZC,$46.15,$44.86,$50.94,$37.71,$52.85,$54.51,$60.22,$49.49,-12.68%,-17.77%,-11.09%,-25.27%
390,PGP,$10.81,$10.89,$11.56,$9.60,$10.50,$10.30,$10.84,$9.58,2.95%,5.71%,11.14%,0.47%
391,FAM,$9.25,$10.11,$10.89,$9.12,$9.43,$10.35,$11.17,$9.41,-1.91%,-2.21%,4.71%,-6.69%
392,JLS,$20.88,$20.83,$21.82,$19.61,$22.11,$22.48,$22.68,$22.11,-5.55%,-7.31%,-4.36%,-12.61%
393,GLU,$21.12,$20.44,$24.05,$18.25,$20.89,$20.79,$21.90,$19.12,1.10%,-1.72%,5.97%,-8.52%
394,GNT,$5.38,$5.31,$6.00,$4.81,$5.96,$5.98,$6.43,$5.63,-9.73%,-11.17%,-6.48%,-16.75%
395,EDF,$6.53,$8.05,$9.00,$6.37,$6.33,$6.94,$7.36,$6.24,3.16%,15.92%,30.09%,0.47%
396,PGZ,$15.78,$14.76,$16.20,$12.07,$17.69,$17.00,$18.03,$14.90,-10.80%,-13.31%,-7.20%,-20.51%
397,JEQ,$8.09,$9.16,$10.26,$7.91,$9.52,$10.57,$11.95,$9.24,-15.02%,-13.35%,-10.69%,-15.27%
398,RSF,$19.79,$18.84,$20.19,$16.39,$19.92,$19.70,$20.44,$18.30,-0.65%,-4.38%,-0.30%,-8.98%
399,JEMD,$7.58,$7.94,$8.43,$7.44,$7.74,$8.06,$8.30,$7.74,-2.07%,-1.45%,1.97%,-4.23%
400,EIC,$17.24,$16.48,$19.53,$14.63,$17.69,$17.27,$17.69,$16.81,0.64%,-4.71%,10.19%,-14.04%
401,VCIF,$10.20,$10.47,$10.95,$9.67,$11.32,$11.74,$12.02,$11.32,-9.89%,-10.80%,-7.47%,-18.05%
402,NXC,$16.31,$16.15,$19.87,$15.12,$15.65,$15.92,$16.14,$15.65,4.22%,1.49%,21.25%,-4.11%
403,NMI,$11.29,$11.65,$12.83,$11.00,$11.30,$11.39,$11.59,$11.22,-0.07%,2.33%,7.84%,-1.87%
404,CEV,$13.67,$13.68,$14.55,$12.89,$14.46,$14.68,$14.94,$14.42,-5.46%,-6.83%,-1.71%,-10.60%
405,IAE,$8.20,$8.96,$9.74,$7.87,$8.99,$9.68,$10.48,$8.85,-8.79%,-7.47%,-3.63%,-12.01%
406,TPZ,$14.02,$12.88,$14.42,$10.76,$15.84,$15.39,$16.53,$13.97,-11.49%,-16.36%,-9.63%,-21.09%
407,PNF,$12.09,$12.45,$13.41,$11.66,$12.00,$12.10,$12.42,$11.68,0.75%,2.93%,7.92%,-2.75%
408,VLT,$14.27,$14.34,$15.34,$13.33,$14.57,$14.91,$15.24,$14.42,-2.06%,-3.79%,1.95%,-10.85%
409,CXH,$9.96,$10.03,$10.74,$9.52,$10.68,$10.89,$11.10,$10.67,-6.74%,-7.84%,-4.04%,-11.29%
410,GLV,$10.62,$11.33,$12.41,$10.11,$10.52,$11.41,$12.25,$10.48,0.95%,-0.60%,5.50%,-11.71%
